IN+1, Incoming - Cheque
FR+2, Incoming - Direct Debit A
FR+3, Incoming - Bank Transfer
FR+4, Incoming - Cash
FR+5, Incoming - Lockbox *2
FR+6, Incoming - Credit Card  *1
FR+7, Incoming - Letter Of Credit
FR+8, Incoming - Bill Of Exchange
FR+9, Incoming - Bank Giro
FR+B, Incoming - SEPA DD - B2B
FR+C, Outgoing cheque in-House Print
FR+E, Outgoing SEPA Bank Transfer
FR+I, Incoming - SEPA DD - CORE
FR+J, Direct Credit for DD Customers
FR+K, Outgoing Direct Debit
FR+L, Rush Wires Outgoing Payment (R
FR+M, Outgoing Payment Manual
FR+O, Controlled Vendor Payments
FR+Q, Outgoing cheqs printed at bank
FR+T, Outgoing Foreign Bank Transfer
FR+U, Outgoing Urgent Payment
FR+V,International - Clearing
FR+X, Outgoing Domestic Bank Transfe
FR+Z, Payment in FRD
ID+1, Incoming - Cheque
ID+2, Incoming - Direct Debit A
ID+3, Incoming - Bank Transfer
ID+4, Incoming - Cash
ID+5, Incoming - Lockbox *2
ID+6, Incoming - Credit Card  *1
ID+7, Incoming - Letter Of Credit
ID+8, Incoming - Bill Of Exchange
ID+9, Incoming - Bank Giro
ID+B, Incoming - SEPA DD - B2B
ID+C, Outgoing cheque in-House Print
ID+E, Outgoing SEPA Bank Transfer
ID+I, Incoming - SEPA DD - CORE
ID+J, Direct Credit for DD Customers
ID+K, Outgoing Direct Debit
ID+L, Rush Wires Outgoing Payment (R
ID+O, Controlled Vendor Payments
ID+Q, Outgoing cheqs printed at bank
ID+S, SAME BANK CLEARANCE
ID+T, Outgoing Foreign Bank Transfer
ID+U, Outgoing Urgent Payment
ID+X, Outgoing Domestic Bank Transfe
ID+Z, Payment in IDD
IT+0, Incoming - Direct Debit B
IT+1, Incoming - Cheque
IT+2, Incoming - Direct Debit A
IT+3, Incoming - Bank Transfer
IT+4, Incoming - Cash
IT+5, Incoming - Lockbox *2
IT+6, Incoming - Credit Card  *1
IT+7, Incoming - Letter Of Credit
IT+8, Incoming - Bill Of Exchange
IT+9, Incoming - Bank Giro
IT+B, Incoming - SEPA DD - B2B
IT+E, Outgoing SEPA Bank Transfer
IT+G, Giro
IT+I, Incoming - SEPA DD - CORE
IT+J, Direct Credit for DD Customers
IT+K, Outgoing Direct Debit
IT+L, Rush Wires Outgoing Payment (R
IT+M, Outgoing Payment Manual
IT+N, Outgoing Manual Payment CIBC
IT+O, Controlled Vendor Payments
IT+T, Outgoing Foreign Bank Transfer
IT+U, Outgoing Urgent Payment
IT+W, IT Outgng Domest Bnk Transfer
IT+X, Outgoing Domestic Bank Transfe
IT+Z, Payment in ITD
MY+0, Incoming - Direct Debit B
MY+1, Incoming - Cheque
MY+2, Incoming - Direct Debit A
MY+3, Incoming - Bank Transfer
MY+4, Incoming - Cash
MY+5, Incoming - Lockbox *2
MY+6, Incoming - Credit Card  *1
MY+7, Incoming - Letter Of Credit
MY+8, Incoming - Bill Of Exchange
MY+9, Incoming - Bank Giro
MY+B, Incoming - SEPA DD - B2B
MY+C, Outgoing cheque in-House Print
MY+I, Incoming - SEPA DD - CORE
MY+J, Direct Credit for DD Customers
MY+K, Outgoing Direct Debit
MY+L, Rush Wires Outgoing Payment (R
MY+M, Outgoing Payment Manual
MY+N, Outgoing Manual Payment CIBC
MY+O, Controlled Vendor Payments
MY+Q, Outgoing cheqs printed at bank
MY+S, Special Handlng Foreign Paymnt
MY+T, Outgoing Foreign Bank Transfer
MY+U, Outgoing Urgent Payment
MY+W, Incoming - Spl. Funds Transfer
MY+X, Outgoing Domestic Bank Transfe
NL+0, Incoming - Direct Debit B
NL+1, Incoming - Cheque
NL+2, Incoming - Direct Debit A
NL+3, Incoming - Bank Transfer
NL+4, Incoming - Cash
NL+5, Incoming - Lockbox *2
NL+6, Incoming - Credit Card  *1
NL+7, Incoming - Letter Of Credit
NL+8, Incoming - Bill Of Exchange
NL+9, Incoming - Bank Giro
NL+A, Check
NL+B, Incoming - SEPA DD - B2B
NL+E, Outgoing SEPA Bank Transfer
NL+I, Incoming - SEPA DD - CORE
NL+J, Direct Credit for DD Customers
NL+K, Outgoing Direct Debit
NL+L, Rush Wires Outgoing Payment (R
NL+M, Outgoing Payment Manual
NL+O, Controlled Vendor Payments
NL+P, Manual Payments
NL+Q, Outgoing cheqs printed at bank
NL+S, Special Handlng Foreign Paymnt
NL+T, Outgoing Foreign Bank Transfer
NL+U, Outgoing Urgent Payment
NL+V, International - Clearing
NL+W, Incoming - Spl. Funds Transfer
NL+X, Outgoing Domestic Bank Transfe
NL+Z, PAYMENT IN USD 
PL+2, Incoming - Direct Debit A
PL+3, Incoming - Bank Transfer
PL+B, Incoming - SEPA DD - B2B
PL+E, Outgoing SEPA Bank Transfer
PL+I, Incoming - SEPA DD - CORE
PL+J, Direct Credit for DD Customers
PL+K, Outgoing Direct Debit
PL+L, Rush Wires Outgoing Payment (R
PL+M, Outgoing Payment Manual
PL+O, Controlled Vendor Payments
PL+P, ACH Credit PPD
PL+T, Outgoing Foreign Bank Transfer
PL+X, Outgoing Domestic Bank Transfe
PL+Z, Payment in PLD
RU+0, Incoming - Direct Debit B
RU+1, Incoming - Cheque
RU+2, Incoming - Direct Debit A
RU+3, Incoming - Bank Transfer
RU+4, Incoming - Cash
RU+7, Incoming - Letter Of Credit
RU+8, Incoming - Bill Of Exchange
RU+9, Incoming - Bank Giro
TH+A, ASR-Verfahren
RU+B, Incoming - SEPA DD - B2B
RU+I, Incoming - SEPA DD - CORE
RU+J, Direct Credit for DD Customers
RU+K, Outgoing Direct Debit
RU+L, Rush Wires Outgoing Payment (R
RU+M, Outgoing Payment Manual
RU+O, Controlled Vendor Payments
RU+T, Outgoing Foreign Bank Transfer
RU+X, Outgoing Domestic Bank Transfe
RU+Z, Payment in USD
TH+0, Incoming - DirDeb PostFinance
TH+1, Incoming - Cheque
TH+2, Incoming - Direct Debit
TH+3, Incoming - Bank Transfer
TH+4, Incoming - Cash
TH+5, Incoming - Lockbox
TH+6, Incoming - Credit Card *1
TH+7, Incoming - Letter Of Credit
TH+8, Incoming - Bill Of Exchange
TH+9, Incoming - GIRO
TH+B, Incoming - SEPA DD - B2B
TH+C, Check for A/C Payee Only
TH+E, DTA ESR-Verfahren (Bank)
TH+F, Debit direct Postfinance (DD)
TH+G, GIRO Payments
TH+H, EZAG ESR-Verfahren (Postfin.)
TH+I, Incoming - Direct Debit CORE
TH+J, Direct Credit for DD Customers
TH+L, New GIRO Payments-QR-IBAN
TH+O, Controlled Vendor Payments
TH+Q, Outgoing cheqs printed at bank
TH+R, Chemical Payment
TH+S, Same bank -SCB Book Transfer
TH+T, Outgoing Foreign Bank Transfer
TH+U, Outgoing Urgent Payment
TH+X, OutgoingDomestic Bank Transfer
TH+Z, Payment in USD
TR+0, Incoming - Direct Debit B
TR+1, Incoming - Cheque
TR+2, Incoming - Direct Debit A
TR+3, Incoming - Bank Transfer
TR+4, Incoming - Cash
TR+5, Incoming - Lockbox *2
TR+7, Incoming - Letter Of Credit
TR+8, Incoming - Bill Of Exchange
TR+9, Incoming - Bank Giro
TR+B, Incoming - SEPA DD - B2B
TR+C, Outgoing cheque in-House Print
TR+H, In House Cash
TR+I, Incoming - SEPA DD - CORE
TR+J, Direct Credit for DD Customers
TR+K, Outgoing Direct Debit
TR+L, Rush Wires Outgoing Payment (R
TR+O, Controlled Vendor Payments
TR+Q, Outgoing cheqs printed at bank
TR+T, Outgoing Foreign Bank Transfer
TR+U, Outgoing Urgent Payment
TR+X, Outgoing Domestic Bank Transfe
TR+Z, Payment in USD
PK+0, Incoming - Direct Debit B
PK+1, Incoming - Cheque
PK+2, Incoming - Direct Debit A
PK+3, Incoming - Bank Transfer
PK+4, Incoming - Cash
PK+5, Incoming - Lockbox *2
PK+6, Incoming - Credit Card  *1
PK+7, Incoming - Letter Of Credit
PK+8, Incoming - Bill Of Exchange
PK+9, Incoming - Bank Giro
PK+B, Incoming - SEPA DD - B2B
PK+C, Outgoing cheque in-House Print
PK+F, FPKEDI all currencies
PK+I, Incoming - SEPA DD - CORE
PK+J, Direct Credit for DD Customers
PK+L, Rush Wires Outgoing Payment (R
PK+M, Outgoing Payment Manual
PK+N, Outgoing Manual Payment CIBC
PK+O, Controlled Vendor Payments
PK+P, ACH Credit PPD
PK+Q, Outgoing cheqs printed at bank
PK+S, Same bank -SCB Book Transfer
PK+T, Outgoing Foreign Bank Transfer
PK+U, Outgoing Urgent Payment
PK+X, Outgoing Domestic Bank Transfe
CH+0, Incoming - DirDeb PostFinance
CH+1, Incoming - Cheque
CH+2, Incoming - Direct Debit
CH+3, Incoming - Bank Transfer
CH+4, Incoming - Cash
CH+5, Incoming - Lockbox
CH+6, Incoming - Credit Card *1
CH+7, Incoming - Letter Of Credit
CH+8, Incoming - Bill Of Exchange
CH+9, Incoming - GIRO
CH+A, Check
CH+B, Incoming - SEPA DD - B2B
CH+D, Debit direct Postfinance (BAD)
CH+E, DTA ESR-Verfahren (Bank)
CH+F, Debit direct Postfinance (DD)
CH+G, GIRO Payments
CH+H, EZAG ESR-Verfahren (Postfin.)
CH+I, Incoming - Direct Debit CORE
CH+J, Direct Credit for DD Customers
CH+K, Outgoing Direct Debit
CH+L, New GIRO Payments-QR-IBAN
CH+M, DTA Bank an PC-Konto
CH+O, Controlled Vendor Payments
CH+P, Manual Payments
CH+S, Same bank -SCB Book Transfer
CH+T, Outgoing Foreign Bank Transfer
CH+U, Outgoing Urgent Payment
CH+V, Verrechnung (im Konzern)
CH+X, OutgoingDomestic Bank Transfer
CH+Z, Payment in USD
